id,clientOrderId,side,price,size,filledSize,status,isPaperTrade,exchangeOrderId,createdAt,updatedAt
2503c8d1-6b49-423d-b82b-82691187e460,pm-1771172466939-0cb3c1f0,SELL,0.4992,5,5,FILLED,PAPER,,2026-02-15T16:21:07.548Z,2026-02-15T16:21:11.340Z
8fdbeb1b-f0ea-499a-860c-9caaa510ba69,pm-1771172455240-5b04767c,BUY,0.46,5,5,FILLED,PAPER,,2026-02-15T16:20:59.954Z,2026-02-15T16:21:00.939Z
dd121068-1b40-486c-b8e6-156552473f22,pm-1771171972439-c5efac96,SELL,0.1399,5,5,FILLED,PAPER,,2026-02-15T16:12:52.470Z,2026-02-15T16:12:58.439Z
aee10e95-1c38-42ce-bc50-5c8ae81c51df,pm-1771171969985-0577b43e,BUY,0.1,5,5,FILLED,PAPER,,2026-02-15T16:12:50.017Z,2026-02-15T16:12:51.870Z
2051a5e1-c10b-4c3a-9c72-ebdf3795dda7,pm-1771171930273-f131ad81,SELL,0.751,5,5,FILLED,PAPER,,2026-02-15T16:12:10.302Z,2026-02-15T16:12:16.444Z
baf32b4f-9463-4af9-8631-19a20c73303f,pm-1771171917585-429c9a4a,BUY,0.71,5,5,FILLED,PAPER,,2026-02-15T16:11:57.614Z,2026-02-15T16:12:10.011Z
9bd50d08-ad0f-4072-a5ae-36054d4e5d60,pm-1771171910840-6c998fce,SELL,0.3001,5,5,FILLED,PAPER,,2026-02-15T16:11:51.049Z,2026-02-15T16:11:51.354Z
1ea97acf-ba89-4aea-a728-42d3130a14b6,pm-1771171905137-1f52515f,BUY,0.26,5,5,FILLED,PAPER,,2026-02-15T16:11:45.166Z,2026-02-15T16:11:48.221Z
bdd6bdd5-d8b8-403f-b6db-39c58dd961a1,pm-1771171860749-cf7ee8fc,SELL,0.3994,5,5,FILLED,PAPER,,2026-02-15T16:11:00.779Z,2026-02-15T16:11:02.939Z
1dd48267-90e5-44be-8cab-d4cdf665c6bf,pm-1771171856839-a7c88b79,BUY,0.36,5,5,FILLED,PAPER,,2026-02-15T16:10:56.869Z,2026-02-15T16:11:00.479Z
4284b34c-2c19-4269-9be6-6341d1fd7826,pm-1771171850792-f7349b17,SELL,0.629,5,5,FILLED,PAPER,,2026-02-15T16:10:50.822Z,2026-02-15T16:10:56.590Z
82211a37-84ea-4fe2-bae8-7f67c514eecb,pm-1771171847839-1c40085f,BUY,0.59,5,5,FILLED,PAPER,,2026-02-15T16:10:47.974Z,2026-02-15T16:10:50.522Z
24600844-e8e4-4e60-852d-9666e0ca1459,pm-1771171621518-3b37bd5e,SELL,0.4432,5,5,FILLED,PAPER,,2026-02-15T16:07:01.552Z,2026-02-15T16:07:04.476Z
3a2560f3-90e0-4ab2-85ca-99bf4b5db6ac,pm-1771171619713-998e2faf,SELL,0.4697,5,5,FILLED,PAPER,,2026-02-15T16:06:59.746Z,2026-02-15T16:07:01.916Z
3b5b506a-5337-4dc3-a922-cd3e0beb144e,pm-1771171618555-64b59b6f,SELL,0.4691,5,5,FILLED,PAPER,,2026-02-15T16:06:58.650Z,2026-02-15T16:07:01.670Z
504e02d2-4e3b-4853-acee-8cb9eab604c4,pm-1771171615100-4a51b847,BUY,0.35,5,5,FILLED,PAPER,,2026-02-15T16:06:55.129Z,2026-02-15T16:07:01.228Z
dcbef8a6-fb1b-4e4d-95a7-5cfc9f88aea3,pm-1771171615079-b8c3b652,BUY,0.43,5,5,FILLED,PAPER,,2026-02-15T16:06:55.110Z,2026-02-15T16:06:59.040Z
b0a47178-17c9-4393-9da5-2bbcbc10b46a,pm-1771171615080-e6017549,BUY,0.43,5,5,FILLED,PAPER,,2026-02-15T16:06:55.110Z,2026-02-15T16:06:58.267Z
57765fe2-c959-4e69-8cd6-48fa4388c15e,pm-1771171611440-70d8d56b,SELL,0.3997,5,5,FILLED,PAPER,,2026-02-15T16:06:51.949Z,2026-02-15T16:06:55.165Z
ed776bdb-a986-4376-86bc-6b89b04bea81,pm-1771171575339-e385a6a6,BUY,0.36,5,5,FILLED,PAPER,,2026-02-15T16:06:15.552Z,2026-02-15T16:06:18.638Z
d9bd22dc-d6f1-4bb0-9922-de79cb51d21d,pm-1771171529250-aefe3766,SELL,0.6392,5,5,FILLED,PAPER,,2026-02-15T16:05:29.350Z,2026-02-15T16:05:33.346Z
852ad129-b708-45ba-87ec-9ca015720513,pm-1771171522761-a3338c39,BUY,0.6,5,5,FILLED,PAPER,,2026-02-15T16:05:22.792Z,2026-02-15T16:05:28.975Z
92af90ef-2d77-462f-990a-73031af493d6,pm-1771171513931-c4aa6e32,SELL,0.5395,5,5,FILLED,PAPER,,2026-02-15T16:05:13.964Z,2026-02-15T16:05:22.523Z
d02abd77-cea6-47a9-bbae-6623b10abb1c,pm-1771171511454-dd0caac5,BUY,0.5,5,5,FILLED,PAPER,,2026-02-15T16:05:11.485Z,2026-02-15T16:05:13.656Z
98608ead-9c41-4c47-898a-771a78a9a592,pm-1771171377839-4c34f0c4,SELL,0.4902,5,5,FILLED,PAPER,,2026-02-15T16:02:57.948Z,2026-02-15T16:03:00.140Z
52448790-e1a9-4fa5-ad5b-831793ac5ecf,pm-1771171374180-4df02311,BUY,0.45,5,5,FILLED,PAPER,,2026-02-15T16:02:54.210Z,2026-02-15T16:02:57.239Z
1effd96d-3d74-4040-9a4f-bcd4346616d7,pm-1771171368178-fc2add1f,SELL,0.4003,5,5,FILLED,PAPER,,2026-02-15T16:02:48.208Z,2026-02-15T16:02:50.939Z
1d47fffa-8e42-4129-993b-265286987b4a,pm-1771171364819-becc1653,BUY,0.36,5,5,FILLED,PAPER,,2026-02-15T16:02:44.850Z,2026-02-15T16:02:47.898Z
82e6d1cd-0acf-41f1-b2f5-8847e678142f,pm-1771171350839-ed93d3b7,SELL,0.5347,5,5,FILLED,PAPER,,2026-02-15T16:02:30.950Z,2026-02-15T16:02:34.039Z
d0a8f9f3-ce3a-434b-b78b-1981803d3c0a,pm-1771171347939-e0024a1a,BUY,0.38,5,5,FILLED,PAPER,,2026-02-15T16:02:28.151Z,2026-02-15T16:02:32.218Z
514f052f-9ca7-4428-a045-a71ed0488fc4,pm-1771171346740-ad0ce9c6,SELL,0.5999,5,5,FILLED,PAPER,,2026-02-15T16:02:27.051Z,2026-02-15T16:02:32.237Z
db02fd03-1892-4740-a100-50f13280a77f,pm-1771171344939-5656c7e9,BUY,0.56,5,5,FILLED,PAPER,,2026-02-15T16:02:25.051Z,2026-02-15T16:02:26.021Z
c868a2c8-2bb6-44d5-892b-b18829a4b076,pm-1771171339239-fcd71c48,BUY,0.43,5,5,FILLED,PAPER,,2026-02-15T16:02:19.350Z,2026-02-15T16:02:29.099Z
3806b82d-5702-451e-b545-cb1e07fb4d83,pm-1771171338039-effb1c83,SELL,0.4708,5,5,FILLED,PAPER,,2026-02-15T16:02:18.150Z,2026-02-15T16:02:22.859Z
d5cb0948-a3cc-4b94-9a78-01c331f79786,pm-1771171335639-b17050c6,BUY,0.43,5,5,FILLED,PAPER,,2026-02-15T16:02:15.751Z,2026-02-15T16:02:17.062Z
98c3eba4-436e-43f1-b989-ff8e56b9f194,pm-1771171334639-99329944,SELL,0.5907,5,5,FILLED,PAPER,,2026-02-15T16:02:14.750Z,2026-02-15T16:02:16.627Z
72060c17-29cd-44d6-a293-b4899b2113d3,pm-1771171327159-bd1a1e08,BUY,0.55,5,5,FILLED,PAPER,,2026-02-15T16:02:07.194Z,2026-02-15T16:02:13.511Z
e1af6aff-7d80-4ce8-b795-1df0703369f2,pm-1771171283539-ea912a14,SELL,0.5099,5,5,FILLED,PAPER,,2026-02-15T16:01:23.649Z,2026-02-15T16:01:26.376Z
04239d74-a2e6-4ff3-babe-5ab050eba129,pm-1771171273896-39f0ead7,BUY,0.47,5,5,FILLED,PAPER,,2026-02-15T16:01:13.926Z,2026-02-15T16:01:23.214Z
181fcd42-560f-48fb-8ba0-fe7c4a1b2d7e,pm-1771171258302-d3ca007a,SELL,0.5103,5,5,FILLED,PAPER,,2026-02-15T16:00:58.332Z,2026-02-15T16:01:01.423Z
b6b16e2b-2eb5-4bd1-ae4d-b8beceffb2e0,pm-1771171255061-54866f00,BUY,0.47,5,5,FILLED,PAPER,,2026-02-15T16:00:55.092Z,2026-02-15T16:00:57.039Z
715ef3ff-5f6b-45db-9154-e9b6bd487357,pm-1771171254933-63f8bdbc,SELL,0.4102,5,5,FILLED,PAPER,,2026-02-15T16:00:54.965Z,2026-02-15T16:00:55.423Z
04ff30ea-38fe-49a6-bce2-ab4831982412,pm-1771171249939-49e70953,BUY,0.37,5,5,FILLED,PAPER,,2026-02-15T16:00:50.049Z,2026-02-15T16:00:53.340Z
2409a202-5a20-4bca-a476-cef466a19442,pm-1771171239039-eafaf756,SELL,0.3897,5,5,FILLED,PAPER,,2026-02-15T16:00:39.069Z,2026-02-15T16:00:42.483Z
8bccfa1e-6dcb-43e2-8dc2-69df4fd9b555,pm-1771171234439-68ef21a3,BUY,0.35,5,5,FILLED,PAPER,,2026-02-15T16:00:34.648Z,2026-02-15T16:00:37.361Z
8649fcab-56b8-444e-b5db-f8507de3834f,pm-1771171080108-22770516,SELL,0.0899,5,5,FILLED,PAPER,,2026-02-15T15:58:00.138Z,2026-02-15T15:58:02.489Z
1f5eaf5b-6e00-4846-aeb5-88ade91922da,pm-1771171076600-194c23fa,BUY,0.05,5,5,FILLED,PAPER,,2026-02-15T15:57:56.631Z,2026-02-15T15:57:59.680Z
e916dade-cd1f-45cd-a89a-ad9c177ddc6f,pm-1771171023178-8f584098,SELL,0.8003,5,5,FILLED,PAPER,,2026-02-15T15:57:03.208Z,2026-02-15T15:57:07.920Z
f8622988-0085-441f-ba5f-7c1b8b01b1cc,pm-1771171018939-e01a998e,BUY,0.76,5,5,FILLED,PAPER,,2026-02-15T15:56:58.968Z,2026-02-15T15:57:02.439Z
4e2d48cc-7ce4-4557-9785-12df628fb48f,pm-1771170983112-e1ebd5da,SELL,0.3901,5,5,FILLED,PAPER,,2026-02-15T15:56:23.144Z,2026-02-15T15:56:25.803Z
fbf6e1bf-a76a-4d36-9e20-396e203b8402,pm-1771170976658-ff26b1f3,BUY,0.35,5,5,FILLED,PAPER,,2026-02-15T15:56:16.689Z,2026-02-15T15:56:22.832Z
ca72f0a6-f85c-45a8-bbd9-e03c69bdad4c,pm-1771170722178-d08c2f73,SELL,0.331,5,5,FILLED,PAPER,,2026-02-15T15:52:02.208Z,2026-02-15T15:52:04.140Z
f7a3f78e-453b-40b4-a886-5b9df2edd46b,pm-1771170718075-66062e0b,BUY,0.29,5,5,FILLED,PAPER,,2026-02-15T15:51:58.106Z,2026-02-15T15:52:00.639Z
df5a9cb3-1ee0-4d7b-9dfc-07ab5b4ec79e,pm-1771170637172-5f694f4b,SELL,0.33,5,5,FILLED,PAPER,,2026-02-15T15:50:37.203Z,2026-02-15T15:50:42.139Z
e74af6e6-6fad-47ef-a624-1008bb424e7f,pm-1771170630438-df2bf436,BUY,0.29,5,5,FILLED,PAPER,,2026-02-15T15:50:30.470Z,2026-02-15T15:50:36.639Z
394f191d-7d5b-439d-b35b-9320f37699b7,pm-1771170608546-f4dd19fe,SELL,0.6607,5,5,FILLED,PAPER,,2026-02-15T15:50:08.577Z,2026-02-15T15:50:11.139Z
7705d919-9d4f-4b18-b4eb-17dfa28f3d02,pm-1771170605672-fbbc2c93,BUY,0.62,5,5,FILLED,PAPER,,2026-02-15T15:50:05.703Z,2026-02-15T15:50:08.123Z
f697468a-711b-4973-b86e-61753f624e2b,pm-1771170480239-0dae7c4c,SELL,0.3902,5,5,FILLED,PAPER,,2026-02-15T15:48:00.349Z,2026-02-15T15:48:02.857Z
b1663516-f06c-475d-a424-f3b03f4e065a,pm-1771170476599-1b7e7b09,BUY,0.35,5,5,FILLED,PAPER,,2026-02-15T15:47:56.629Z,2026-02-15T15:47:59.639Z
fa8e805b-59f7-4cd1-8a53-84810fbffc5c,pm-1771170439797-8bc8684f,SELL,0.4904,5,5,FILLED,PAPER,,2026-02-15T15:47:20.291Z,2026-02-15T15:47:23.740Z
95e99210-7743-4e6c-8e66-60d98a742b9d,pm-1771170437140-6787bf90,BUY,0.45,5,5,FILLED,PAPER,,2026-02-15T15:47:17.203Z,2026-02-15T15:47:19.522Z
21d4a935-9761-44a4-ad87-f5cee70b4770,pm-1771170379939-415b899e,SELL,0.5344,5,5,FILLED,PAPER,,2026-02-15T15:46:20.150Z,2026-02-15T15:46:28.639Z
b87f7810-c458-4959-8f60-e0b14c327ab4,pm-1771170378839-470c7d9d,SELL,0.4592,5,5,FILLED,PAPER,,2026-02-15T15:46:18.949Z,2026-02-15T15:46:21.739Z
701fd5d3-2adc-44af-ae97-4d7fdb8e3767,pm-1771170368741-c3a5e346,BUY,0.57,5,5,FILLED,PAPER,,2026-02-15T15:46:09.150Z,2026-02-15T15:46:16.640Z
f9ffcf5f-7255-4d38-ba01-bfd3718eb97f,pm-1771170368540-a4b4b124,BUY,0.42,5,5,FILLED,PAPER,,2026-02-15T15:46:08.749Z,2026-02-15T15:46:14.339Z
7517eccc-0af1-4415-9bd3-fa4b0aa2b038,pm-1771170345040-5ee9af2d,SELL,0.4592,5,5,FILLED,PAPER,,2026-02-15T15:45:45.849Z,2026-02-15T15:45:49.839Z
9bc5c665-24d6-4276-a4b4-509ad9b15ff2,pm-1771170322039-95e8266a,BUY,0.42,5,5,FILLED,PAPER,,2026-02-15T15:45:22.149Z,2026-02-15T15:45:28.540Z
916a7e12-3891-49ce-84be-074d5bb3e214,pm-1771170154639-48e8711c,SELL,0.521,5,5,FILLED,PAPER,,2026-02-15T15:42:34.749Z,2026-02-15T15:42:35.439Z
a7e1ed38-46fc-4a0c-b1be-4a5d3c913b80,pm-1771170136339-b669c913,BUY,0.48,5,5,FILLED,PAPER,,2026-02-15T15:42:16.550Z,2026-02-15T15:42:23.239Z
90653872-4a35-48f9-94c2-441ddd4f7cc4,pm-1771170031439-0ddb57d1,SELL,0.54,5,5,FILLED,PAPER,,2026-02-15T15:40:31.551Z,2026-02-15T15:40:35.039Z
85e69d1c-440a-4a20-8c57-35ffcdbd0274,pm-1771170026399-c5b4d1ae,BUY,0.5,5,5,FILLED,PAPER,,2026-02-15T15:40:26.432Z,2026-02-15T15:40:29.139Z
bed8fe95-aac2-4f2c-b31a-41ad1f595077,pm-1771169891739-77f7a89e,SELL,0.25,2.5,2.5,FILLED,PAPER,,2026-02-15T15:38:11.852Z,2026-02-15T15:38:14.839Z
9036d47a-42cb-4a3c-b9dc-e2074efb032e,pm-1771169891339-22ca9b89,SELL,0.25,2.5,2.5,FILLED,PAPER,,2026-02-15T15:38:11.550Z,2026-02-15T15:38:13.639Z
f4f3a98f-c465-4972-b03e-153034a44b65,pm-1771169869039-28576930,SELL,0.6507,5,5,FILLED,PAPER,,2026-02-15T15:38:01.750Z,2026-02-15T15:38:12.539Z
